x1,x2,y
0.1547001,0.61245218,0
0.11565988,0.78400239,0
0.05539866,0.75739935,0
0,0.73496865,0
0.2022853,0.94726397,0
0.17434703,0.60284385,0
0.33632769,0.73289981,0
0,0.84724115,0
0.06984466,0.56712022,0
0.35504506,0.570296,0
0.12629791,0.7177119,0
0.30379544,0.75105634,0
0.19039093,0.64209118,1
0.12910871,0.94277178,0
0.23799024,0.72940299,0
0,0.85035146,0
0.06241671,0.53771938,0
0.19487704,0.86041432,0
0.29775824,0.75025182,0
0.21742022,0.6773623,0
0.13712159,0.79095265,0
0.26967934,0.93088011,0
0.11194107,0.80602666,0
0,0.94518267,0
0.10647723,0.81097951,0
0.08708573,0.91788814,0
0.16180836,0.76307879,0
0.05668456,0.73834898,1
0.20141333,0.60015172,0
0.39858785,0.6443108,0
0,0.98534072,0
0.1917708,0.70641065,0
0.00881456,0.76861043,0
0.02191695,0.51650055,0
0,0.73948949,0
0.07369953,0.66683203,0
0.15684852,0.78363562,0
0,0.67531595,0
0.38140795,0.57053801,0
0.00366577,0.8223872,0
0,0.6576102,0
0.09403289,0.79466834,0
0.43925993,0.70681622,0
0.33348491,0.7503654,0
0.28884237,0.77835659,0
0.22045592,0.94243656,0
0.17460515,1,0
0.04867032,0.83652876,0
0,0.76490896,0
0,0.68894321,0
0,0.64792459,0
0,0.77999234,0
0,1,0
0.21198842,0.59108412,0
0,0.58406936,0
0,0.8990762,0
0,0.70101042,0
0,0.61938455,0
0.22252606,0.79538315,0
0,0.91514644,0
0.08963013,0.60285355,0
0.19112421,0.86137818,0
0.27821358,0.76489252,0
0.37514751,0.71924546,0
0,0.65258211,0
0.23943655,0.92331975,0
0.0320841,1,0
0.08471822,0.43603009,0
0.31264164,0.95875544,0
0.0250016,0.9121316,0
0.20511074,0.55700644,0
0.09690193,0.77598012,0
0.04138792,0.48431161,0
0.30749231,0.81040733,0
0.07855967,0.71591119,1
0.08025063,0.76899747,0
0.20749299,0.7064773,0
0.23812555,0.59916318,0
0,0.84817644,0
0.27056226,1,1
0.02097889,0.75638915,0
0,0.44649555,0
0,0.96684287,0
0.08963129,0.74421035,0
0.15437496,0.68112753,0
0.0109542,0.68438472,0
0.28390178,0.51137067,0
0.19682131,0.52658033,1
0.12398643,0.74579487,0
0.36307849,0.62411677,0
0,0.6733983,0
0.14998967,0.96316756,0
0.22839898,0.78220976,0
0,0.79902354,0
0.07404042,0.89545048,1
0.10218015,0.80548865,0
0.04769927,0.79164176,0
0.11975731,0.73535502,0
0.08834596,0.76873312,0
0,0.85250683,0
0.21661621,0.7511769,0
0.02928903,0.95322871,0
0.02230845,0.76677895,0
0.17738695,0.73178468,0
0.34733795,0.7663693,0
0,0.78107563,0
0.13772182,1,0
0.16562887,0.78019079,0
0.11409157,0.68483256,0
0.46843827,0.93767832,0
0.28599788,0.63320204,0
0.03516472,0.84916899,0
0.02246816,0.98382006,0
0.23793882,1,0
0.25100793,0.71379038,0
0.21070086,0.91141003,0
0.02534037,0.75131234,0
0.18546762,0.8977702,0
0.09924368,0.77135284,0
0.36898874,0.65626747,0
0,0.80667946,0
0.11456922,0.82345122,0
0,0.80636333,0
0,0.74401791,0
0.11057427,0.68281937,0
0.0773202,0.84584215,1
0.04015565,0.99296142,0
0.32695981,0.63756858,0
0.12224957,0.88529703,1
0.29461816,0.59137796,1
0,0.86451336,0
0.07561284,0.74788825,0
0,1,0
0.31172504,0.92943453,0
0,0.91556935,0
0.31639429,0.61210757,0
0,0.61734513,0
0.09677037,0.58984072,0
0,0.74796739,0
0.07543875,0.56335534,0
0.11206423,0.7214721,0
0,0.70478997,0
0.06970608,0.79079394,0
0.06147076,0.71906541,1
0,0.73847428,0
0.23580245,0.5564054,0
0,0.65741113,0
0.07934501,0.70276093,1
0.18899754,0.79116479,0
0.03643919,0.96488778,0
0.21421239,1,0
0.12805745,0.73447959,0
0.3183584,0.85653565,0
0.01722453,0.85162453,0
0,0.78934316,0
0.16022839,0.87064431,0
0.08272151,0.79178849,0
0.06866052,0.55063568,0
0.17952966,0.52662567,1
0.17788779,0.71998352,0
0.11262983,0.70581297,0
0.19886844,0.70113855,0
0.21562217,0.68467621,0
0.22670246,0.72255024,0
0.24520658,0.62702776,0
0.2911432,0.65071663,0
0.09088286,0.85871485,1
0.04838058,0.8366546,0
0,1,0
0.07672857,0.82948191,0
0,0.81428883,0
0.16757295,1,0
0.08215896,0.90753177,1
0.03195705,0.7313116,1
0,0.8567527,0
0.11850293,0.75480489,0
0.02638787,0.78299138,0
0,0.96510544,0
0,0.80494022,0
0.26418257,0.60669342,0
0.01518612,0.86413234,0
0.00329571,0.89403708,0
0.0691552,0.60606255,0
0.02947361,0.57063812,0
0.04784814,0.59296536,0
0.06624014,0.74247872,1
0.02557938,0.68655203,0
0,0.91420286,0
0.21005887,0.63253806,1
0.09476628,0.70556305,0
0,0.83339948,0
0.22285726,0.6782978,0
0,0.79936314,0
0.05381516,0.724747,1
0.06973845,0.60279974,0
0,1,0
0.1502734,0.78828427,0
0,0.97336175,0
0.32270158,0.96884759,0
0.16143731,0.76343528,0
0.34798074,0.65737079,0
0.20018758,0.78851771,0
0,0.5779477,0
0.20067044,0.61639687,1
0.17283119,0.82821963,0
0.2536823,0.97827205,1
0.26049695,0.53525601,0
0.17416335,0.57278634,0
0.19842215,1,0
0.0287347,0.58052005,0
0.3317869,0.8207826,0
0,0.91075109,0
0,0.90680424,0
0,0.63019692,0
0.23735386,0.77931929,0
0,0.68454296,0
0.05622266,0.63900061,0
0.12158288,0.53292582,0
0.04225645,0.94709002,0
0,0.50802464,0
0.27346217,0.67054512,0
0.09924439,0.87364422,1
0.184259,0.86083992,0
0.11068723,0.7515506,0
0.0357676,0.83954982,0
0.32208133,0.57139031,0
0.22416435,0.8590426,0
0,0.87792167,0
0,0.73967471,0
0.29221769,0.87825684,0
0,0.87377922,0
0.11217889,0.8368992,0
0,0.90773511,0
0.20631716,0.8296152,0
0.19318751,0.85402987,0
0.07215587,1,0
0.32757065,0.86902957,0
0.03849606,0.71301795,1
0.06914202,0.72460952,1
0.26420134,0.52169632,0
0.17421313,0.69504204,0
0.22926713,0.98555348,0
0.31526799,0.69029093,0
0.14414086,0.70268648,0
0.20091907,0.66683168,0
0.02024346,0.65802297,0
0.17502437,0.90115153,0
0.06671194,0.80544352,0
0.2886429,0.79922206,0
0.10333443,0.90308315,1
0.11421416,0.79415306,0
0.10949876,0.84161115,1
0,0.48852346,0
0,0.86532512,0
0.38494013,0.62701259,0
0.20891403,0.76131201,0
0.1155545,0.70360973,0
0.0878074,0.80493443,0
0.08728394,0.64737029,0
0.17143507,0.81758746,0
0.2192979,0.80624122,0
0,0.61596772,0
0.090178,0.66816152,0
0,0.86481813,0
0.04993529,0.95171973,0
0.18122868,0.87675509,0
0,0.65762188,0
0.2527318,0.84925235,0
0.27499658,1,1
0.10856377,1,0
0.14760748,0.42681976,0
0.29788404,0.66583196,0
0.0282951,0.54527302,0
0,1,0
0,0.65793011,0
0,0.7170706,0
0.0104021,0.83623024,0
0.16206775,0.83324887,0
0,0.78363695,0
